u,v,name,length,highway,oneway
42431877,42431875,Broad Street,24.7925112317,unclassified,True
42443081,42453714,East 113th Street,107.987146652,residential,False
42443081,42453709,East 113th Street,119.382468435,residential,False
42443081,42443078,2nd Avenue,76.5295721392,primary,True
42443085,42456115,East 116th Street,229.662826887,residential,False
42443085,42435398,2nd Avenue,87.7272768933,primary,True
42443085,42450071,East 116th Street,214.726095162,residential,False
42434894,596775825,East 103rd Street,25.2767259297,residential,True
42434894,42436614,Park Avenue,77.5891436528,secondary,True
42434895,42434894,East 103rd Street,142.744759089,residential,True
42434895,42430479,Lexington Avenue,80.7318544997,secondary,True
42443088,42449840,East 117th Street,216.050935177,residential,True
42443088,42443085,2nd Avenue,85.5974819953,primary,True
42434898,42436624,3rd Avenue,78.9937814034,primary,True
42434898,42434895,East 103rd Street,154.270690556,residential,True
42443092,42443824,East 120th Street,228.337055657,residential,True
42443092,42435234,2nd Avenue,81.8288355696,primary,True
42434904,42434905,East 103rd Street,154.401374773,residential,False
42434904,42425127,5th Avenue,79.6387103928,secondary,True
42434905,42434904,East 103rd Street,154.401374773,residential,False
42434905,42436610,Madison Avenue,80.0644358723,secondary,True
42443099,42443096,2nd Avenue,79.2961515972,primary,True
42443099,3931534871,East 122nd Street,12.747887965,residential,True
42434910,42434912,East 103rd Street,228.906828692,residential,True
42434910,42436630,1st Avenue,79.7123090172,primary,True
42434912,42434915,East 103rd Street,68.7462331005,residential,False
42434912,42430485,2nd Avenue,79.2635478815,primary,True
42443105,42443099,2nd Avenue,80.7755914428,primary,True
42443105,42450083,East 123rd Street,214.846702584,residential,True
42434915,42434912,East 103rd Street,68.7462331005,residential,False
42431889,42444360,Pearl Street,91.3274457271,residential,True
42431889,42431898,Broad Street,62.5778622426,unclassified,False
42431889,42431877,Broad Street,56.4230433215,unclassified,False
42443116,42444458,East 125th Street,216.000124905,primary,False
42443116,42423203,East 125th Street,17.1634160811,primary,False
42443116,3786728678,2nd Avenue,86.7473189124,primary,True
42443118,42434134,2nd Avenue,79.5906243425,primary,True
42443118,42426135,East 127th Street,30.2210959762,secondary,True
42443119,42426678,2nd Avenue,22.4842701126,primary,True
100522728,42448811,Park Avenue,78.9220121787,secondary,True
100522728,42457476,East 47th Street,18.8216527323,residential,True
1632878962,1632878994,East 28th Street,252.18862074,residential,False
1632878962,1632878885,FDR Drive,106.697917521,residential,True
42443127,42442836,East Houston Street,22.6806588505,primary,True
42443127,1918039877,Chrystie Street,16.0398743567,secondary,False
42426747,42433834,New York Plaza,62.0703182568,primary,False
42426747,42444355,Whitehall Street,76.464280167,residential,True
42426747,279151954,State Street Plaza,79.3342208345,primary,False
42438463,42438362,East 20th Street,225.572935947,residential,False
42438463,685164634,20th Street Loop,14.2730179159,residential,False
42438463,42439181,East 20th Street,211.374879527,residential,False
42432970,42427881,Saint Nicholas Place,158.454203986,tertiary,True
42432970,42431643,Saint Nicholas Avenue,80.6121525364,secondary,False
42432970,42432967,Saint Nicholas Avenue,79.2876266998,secondary,False
42434946,42430308,West 35th Street,309.81639245,unclassified,True
42434946,42437644,5th Avenue,84.2456082814,secondary,True
42434948,42434946,East 35th Street,154.223449482,unclassified,True
42434948,42445908,Madison Avenue,78.4401099146,secondary,True
1919595926,42433578,Wooster Street,146.335631886,residential,True
1919595926,1919595917,West Houston Street,76.4244969605,primary,True
42434951,42458333,Park Avenue,78.6644751775,secondary,True
42434951,561042191,East 35th Street,18.4639042974,unclassified,True
42449644,42445680,Wadsworth Avenue,87.0474567894,tertiary,False
42449644,42449641,Wadsworth Avenue,76.1403472164,tertiary,False
42449644,42433075,West 185th Street,118.426424586,residential,False
42434954,42445374,Lexington Avenue,84.6195884988,secondary,True
42434954,42434951,East 35th Street,147.173131135,unclassified,True
246579597,246580736,12th Avenue,47.7157041462,trunk,True
246579597,42422258,11th Avenue,56.5554781023,secondary,True
42434959,42434954,East 35th Street,157.229929098,unclassified,True
42434959,42449932,3rd Avenue,78.4241434644,primary,True
1632878994,1632878962,East 28th Street,252.18862074,residential,False
1632878994,42436756,1st Avenue,59.3012943514,primary,True
3630219668,42437074,Clinton Street,132.735555674,residential,True
42434965,4012724160,2nd Avenue,84.3689492532,primary,True
42434965,42434962,East 35th Street,134.968249336,secondary,False
42434969,42434965,East 35th Street,62.0462987278,unclassified,True
42434969,42454495,Tunnel Entrance Street,78.7460391915,primary,True
596775876,42440453,East 51st Street,144.804463852,residential,True
596775876,596775870,Park Avenue,80.9082344496,secondary,True
42434974,42434969,East 35th Street,166.100620761,unclassified,True
42434974,42455915,1st Avenue,78.5232475202,primary,True
3904954788,42423020,2nd Avenue,65.9426325127,primary,True
3099326117,42431201,West 113th Street,127.799524366,residential,True
3099326117,3099327974,Malcolm X Boulevard,79.0587249279,secondary,True
42451370,246911576,West Street,43.6559726789,trunk,True
42451370,42452994,Morris Street,77.7867662356,residential,False
42446919,42449163,Jumel Terrace,48.2597045476,residential,False
42446919,42439718,West 160th Street,72.0682046228,residential,True
247120300,61275380,12th Avenue,68.2488516989,trunk,True
42443181,42421865,Claremont Avenue,169.230989562,residential,False
42443181,42428858,Tiemann Place,83.4082197504,residential,False
42443181,42441077,Tiemann Place,81.1655471784,residential,False
42426799,371225088,Harlem River Drive,263.112730142,motorway,True
42434992,42433043,West 171st Street,135.051449909,residential,True
42434992,42455245,Audubon Avenue,76.3121450741,tertiary,False
42434992,42454622,Audubon Avenue,80.7606519468,tertiary,False
42426804,596800103,East 110th Street,107.722227021,residential,True
42426805,42456110,East 111th Street,92.0780828959,residential,True
42426805,596800103,"[u'East 111th Street', u'FDR Drive']",195.908312168,residential,True
42426810,42435904,Harlem River Drive,367.104521621,secondary,True
42459579,42453087,East 50th Street,35.6492344245,residential,False
42433269,42433264,Waverly Place,73.3950976761,unclassified,True
42433269,42430813,Charles Street,33.9526588727,unclassified,True
42426816,1701844605,East 37th Street,14.9417030483,secondary,True
42426816,42442918,East 37th Street,132.372966987,secondary,False
42426816,42453999,Tunnel Exit Street,78.4424078727,residential,True
2481877067,589927967,East 135th Street,20.3108582846,tertiary,True
42429174,42427844,Broadway,176.286571513,primary,False
42429174,42443524,West 196th Street,180.484372111,residential,False
42429174,1764387326,Broadway,117.639122239,primary,False
486867405,42429761,Delancey Street,69.7804487027,primary,True
486867405,42429645,Eldridge Street,16.9677001153,residential,True
42433107,42433097,Saint Nicholas Avenue,79.4176738121,secondary,False
42433107,42433115,Saint Nicholas Avenue,76.0169055662,secondary,False
42433107,42449654,West 189th Street,119.330666013,residential,True
1506599377,561035342,Broadway,166.731269845,primary,True
1506599378,1506599377,Broadway,80.987992115,primary,True
1506599378,3579432162,West 122nd Street,268.762322412,residential,False
1506599378,1506591534,West 122nd Street,16.3901360911,residential,False
42432700,42435675,8th Avenue,79.6903428155,secondary,True
42432700,42432703,West 45th Street,273.742320451,secondary,True
42440104,42431210,Morningside Avenue,89.170906229,residential,True
42440104,42440108,Morningside Avenue,91.2518680796,residential,False
42440104,42447317,West 114th Street,42.5903668845,residential,True
1061531727,1061531730,Broadway,79.6393416471,primary,True
1061531727,42433252,West 98th Street,129.070995831,residential,True
247120348,42424218,Frontage Road,78.7410141047,unclassified,True
42449613,246858449,Warren Street,26.9877239302,residential,False
42449613,42431626,West Street,78.2281359618,trunk,True
42449613,4015418422,Warren Street,179.50106625,residential,True
42445563,42445054,West 205th Street,38.9145147537,residential,False
4443775464,4443775465,8th Avenue,78.6574286917,secondary,True
4443775464,42435420,West 30th Street,273.708350662,tertiary,True
4443775465,42435642,8th Avenue,155.078328681,secondary,True
4443775465,4557517549,West 31st Street,276.559282988,tertiary,True
42426865,370898426,FDR Drive,915.734526264,motorway,True
42459636,42445804,East 43rd Street,13.5075472577,residential,False
42426875,42455897,East 25th Street,263.818421659,unclassified,False
42426875,589100228,FDR Drive,133.882942316,primary,True
60924412,42442734,Washington Bridge,113.579461736,primary,True
42443263,42443268,97th Street Transverse,189.875948382,secondary,True
42443263,42431293,97th Street Transverse,571.43336075,secondary,False
42443264,42443268,5th Avenue,85.6844737208,secondary,True
42443264,42443263,97th Street Transverse,157.346907547,secondary,True
486867459,486867513,Delancey Street,73.6488747682,primary,True
486867459,42432102,Ludlow Street,97.2283409627,residential,True
42443268,42434165,5th Avenue,86.9606679175,secondary,True
42443268,42446086,East 96th Street,155.056039088,secondary,False
42430550,4754091366,Duane Street,49.7929779885,residential,True
42430550,42429830,Church Street,69.2592203887,secondary,True
42456492,42427236,Nassau Street,73.5573793922,residential,True
42456492,42443844,Beekman Street,66.494797173,residential,True
1989931095,3624790934,East 13th Street,111.5632609,residential,False
42443280,42421769,Columbus Avenue,77.6956256625,primary,True
42443280,42427915,West 81st Street,271.84753013,secondary,False
42439249,42434140,"[u'East 8th Street', u'Astor Place']",82.1822297681,residential,True
42439249,42445558,4th Avenue,75.09495519,residential,True
42443296,42449017,3rd Avenue,34.1738627816,primary,False
42443296,42443298,Stuyvesant Street,63.4172959696,residential,True
42443296,42434140,3rd Avenue,38.9073148475,primary,False
42443298,4235734225,Stuyvesant Street,29.4774938154,residential,True
42443298,42449017,East 9th Street,52.9949723108,residential,True
1825841700,1825841743,Columbus Circle,9.72659697403,primary,True
42452130,595352904,Edward M. Morgan Place,66.5630296246,secondary,True
42452130,587934268,West 157th Street,150.489584813,tertiary,False
42452130,2504882471,Edward M. Morgan Place,83.3554932842,secondary,False
246579753,373903786,11th Avenue,292.40677182,trunk,True
42430557,42445357,West Broadway,73.3111789917,secondary,True
42430557,42430550,Duane Street,125.274991837,residential,True
42443313,1241742563,Columbus Avenue,80.6510172122,primary,True
42446942,42449683,East 37th Street,147.057895451,secondary,True
42446942,42446941,Lexington Avenue,77.4513720204,secondary,True
42443320,1061531707,Broadway,92.5130076544,primary,True
42443320,42428588,Columbus Avenue,45.359171867,primary,True
42443320,42435261,West 65th Street,277.188473584,secondary,True
486867513,42432099,Essex Street,96.9361427131,residential,False
486867513,42429773,Essex Street,18.8728200631,residential,False
486867513,486867534,Delancey Street,71.7534497404,primary,True
42443326,42435265,West 68th Street,273.190802584,residential,True
42443326,4557495130,Columbus Avenue,79.7134331371,primary,True
42436021,42436024,Desbrosses Street,87.2210974434,residential,True
42436021,42445171,Washington Street,74.1945759881,residential,True
1763787328,42425780,Riverside Drive,8.43911381334,primary,True
42443329,1061531608,West 69th Street,176.153583202,residential,True
42443329,42443326,Columbus Avenue,79.4559091444,primary,True
42443332,42443329,Columbus Avenue,79.3257542902,primary,True
42443332,42435269,West 70th Street,273.268067195,residential,True
42446945,42449938,East 38th Street,157.982086467,unclassified,True
42446945,42446942,Lexington Avenue,79.6077611239,secondary,True
42443336,42437384,Columbus Avenue,86.0832494299,primary,True
42443336,42442432,West 72nd Street,273.737232079,secondary,False
42443336,42435275,West 72nd Street,273.238582414,secondary,False
42443341,42435283,West 74th Street,273.374878766,residential,True
42443341,42432558,Columbus Avenue,79.6103436868,primary,True
1825841742,1825841754,Columbus Circle,41.8851068843,primary,True
1825841742,1061531429,Broadway,62.0688206114,primary,True
1825841743,4557482266,Columbus Circle,23.6474919934,primary,True
1825841743,42428332,Broadway,71.7689570666,unclassified,True
42443344,42442451,West 75th Street,273.631979401,residential,True
42443344,42443341,Columbus Avenue,80.9113636406,primary,True
496707000,42435920,Henry Street,38.5623705159,residential,False
496707000,496707003,Mechanics Alley,81.6101330636,residential,True
496707000,42435916,Henry Street,32.5575939635,residential,False
42443346,42443344,Columbus Avenue,80.0504998215,primary,True
